Müşteri Şikayeti, Kategori, Alt Kategori
"Müşterimiz 11/01/2024 18:13:50 tarihinde G2626 atmsinde 100 tl para yatırırken atmden kaynaklı oluşan sorundan dolayı işlem gerçeklşirememiştir. gereğinin yapılmasını ister. syg", Dijital Bankacılık, ATM
"Bugün XBank ATM'sinden para çekmeye çalıştım ama makine paramı yuttu. Lütfen acilen yardımcı olun.", Dijital Bankacılık, ATM
"Selam, ATM kartımı makinede unuttum ve makine kartımı geri vermedi. Ne yapmam gerekiyor? Yardım lütfen.", Dijital Bankacılık, ATM
"İyi günler, XBank ATM'sinden para yatırma işlemi yaparken makine parayı almadı ama hesabıma da geçmedi. Lütfen kontrol edin.", Dijital Bankacılık, ATM
"ATM'den kredi kartı borcumu ödemeye çalıştım ama işlem başarısız oldu ve para hesabımdan çekildi. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"Selam, ATM üzerinden fatura ödeme işlemi yaptım fakat fatura ödenmemiş görünüyor. Ne yapmalıyım? Teşekkürler.", Dijital Bankacılık, ATM
"Merhaba, ATM'den başka bir hesaba para göndermeye çalıştım fakat işlem tamamlanmadan makine kapandı. Paramı geri alabilir miyim?", Dijital Bankacılık, ATM
"İyi günler, ATM'de hesap bakiyemi kontrol etmeye çalıştım fakat sürekli hata veriyor. Bu durumu düzeltebilir misiniz?", Dijital Bankacılık, ATM
"XBank ATM'sinden nakit avans çekmeye çalıştım ama işlem başarısız oldu. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"Selam, ATM'de şifre değiştirme işlemi yapmak istedim ama sürekli hata alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den para çekme işlemi sırasında makine elektrik kesintisi yaşadı ve paramı alamadım. Yardımınıza ihtiyacım var.", Dijital Bankacılık, ATM
"ATM üzerinden yaptığım EFT işlemi gerçekleşmedi ama para hesabımdan çekildi. Bu durumu kontrol eder misiniz?", Dijital Bankacılık, ATM
"Merhaba, ATM'de kredi kartı borcumu ödemek istedim ama işlem sonunda makine makbuz vermedi. Borcum ödenmiş mi kontrol edebilir misiniz?", Dijital Bankacılık, ATM
"Selam, ATM'den döviz çekmeye çalıştım ama makine işlemi gerçekleştirmedi ve hesabımdan para eksildi. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den hesap ekstresi almak istedim fakat makine sürekli hata verdi. Bu durumu düzeltebilir misiniz?", Dijital Bankacılık, ATM
"İyi günler, ATM'de para yatırma işlemi yaparken paralar sıkıştı ve işlem tamamlanmadı. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"ATM'den yaptığım fatura ödeme işlemi başarısız oldu ve hesabımdan para çekildi. Lütfen kontrol edin.", Dijital Bankacılık, ATM
"Selam, ATM'den şifre değiştirme işlemi yaptım ama yeni şifrem çalışmıyor. Yardım edebilir misiniz?", Dijital Bankacılık, ATM
"ATM'den hesap bakiyemi kontrol etmek istedim fakat sürekli teknik bir hata alıyorum. Bu sorunu çözebilir misiniz?", Dijital Bankacılık, ATM
"ATM'den para çekme işlemi sırasında makine arızalandı ve paramı alamadım. Ne yapmalıyım?", Dijital Bankacılık, ATM
"Merhaba, ATM'den yaptığım EFT işlemi gerçekleşmedi ve para hesabımdan çekildi. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"Selam, ATM'de kredi kartı borcumu ödemeye çalıştım ama işlem sonunda hata verdi. Paramı geri alabilir miyim?", Dijital Bankacılık, ATM
"Merhaba, ATM'den döviz çekmeye çalıştım fakat makine işlem yapmadı ve hesabımdan para eksildi. Lütfen kontrol edin.", Dijital Bankacılık, ATM
"ATM'den hesap ekstresi almak istedim fakat sürekli hata mesajı alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'de para yatırma işlemi yaparken makine paraları geri verdi ve işlem tamamlanmadı. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"Selam, ATM'den fatura ödeme işlemi yapmaya çalıştım ama sistemde sorun vardı ve işlem gerçekleşmedi. Yardım edebilir misiniz?", Dijital Bankacılık, ATM
"Merhaba, ATM'den şifre değiştirme işlemi yapmak istedim ama yeni şifremi kabul etmiyor. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"İyi günler, ATM'den hesap bakiyemi kontrol etmek istedim fakat makine sürekli hata verdi. Bu durumu düzeltebilir misiniz?", Dijital Bankacılık, ATM
"Merhaba, ATM'den para çekme işlemi sırasında makine elektrik kesintisi yaşadı ve paramı alamadım. Yardımınıza ihtiyacım var.", Dijital Bankacılık, ATM
"Selam, ATM'den yaptığım EFT işlemi gerçekleşmedi ama para hesabımdan çekildi. Bu durumu kontrol eder misiniz?", Dijital Bankacılık, ATM
"ATM'de kredi kartı borcumu ödemek istedim ama işlem sonunda makine makbuz vermedi. Borcum ödenmiş mi kontrol edebilir misiniz?", Dijital Bankacılık, ATM
"İyi günler, ATM'den döviz çekmeye çalıştım ama makine işlemi gerçekleştirmedi ve hesabımdan para eksildi. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den hesap ekstresi almak istedim fakat makine sürekli hata verdi. Bu durumu düzeltebilir misiniz?", Dijital Bankacılık, ATM
"Selam, ATM'de para yatırma işlemi yaparken paralar sıkıştı ve işlem tamamlanmadı. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"ATM'den yaptığım fatura ödeme işlemi başarısız oldu ve hesabımdan para çekildi. Lütfen kontrol edin.", Dijital Bankacılık, ATM
"İyi günler, ATM'den şifre değiştirme işlemi yaptım ama yeni şifrem çalışmıyor. Yardım edebilir misiniz?", Dijital Bankacılık, ATM
"ATM'den hesap bakiyemi kontrol etmek istedim fakat sürekli teknik bir hata alıyorum. Bu sorunu çözebilir misiniz?", Dijital Bankacılık, ATM
"Selam, ATM'den para çekme işlemi sırasında makine arızalandı ve paramı alamadım. Ne yapmalıyım?", Dijital Bankacılık, ATM
"Merhaba, ATM'den yaptığım EFT işlemi gerçekleşmedi ve para hesabımdan çekildi. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"İyi günler, ATM'de kredi kartı borcumu ödemeye çalıştım ama işlem sonunda hata verdi. Paramı geri alabilir miyim?", Dijital Bankacılık, ATM
"ATM'den döviz çekmeye çalıştım fakat makine işlem yapmadı ve hesabımdan para eksildi. Lütfen kontrol edin.", Dijital Bankacılık, ATM
"Selam, ATM'den hesap ekstresi almak istedim fakat sürekli hata mesajı alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"Merhaba, ATM'de para yatırma işlemi yaparken makine paraları geri verdi ve işlem tamamlanmadı. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"ATM'den fatura ödeme işlemi yapmaya çalıştım ama sistemde sorun vardı ve işlem gerçekleşmedi. Yardım edebilir misiniz?", Dijital Bankacılık, ATM
"Merhaba, ATM'den şifre değiştirme işlemi yapmak istedim ama yeni şifremi kabul etmiyor. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"Selam, ATM'den hesap bakiyemi kontrol etmek istedim fakat makine sürekli hata verdi. Bu durumu düzeltebilir misiniz?", Dijital Bankacılık, ATM
"ATM'den para çekme işlemi sırasında makine elektrik kesintisi yaşadı ve paramı alamadım. Yardımınıza ihtiyacım var.", Dijital Bankacılık, ATM
"İyi günler, ATM'den yaptığım EFT işlemi gerçekleşmedi ama para hesabımdan çekildi. Bu durumu kontrol eder misiniz?", Dijital Bankacılık, ATM
"ATM'de kredi kartı borcumu ödemek istedim ama işlem sonunda makine makbuz vermedi. Borcum ödenmiş mi kontrol edebilir misiniz?", Dijital Bankacılık, ATM
"Selam, ATM'den döviz çekmeye çalıştım ama makine işlemi gerçekleştirmedi ve hesabımdan para eksildi. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den hesap ekstresi almak istedim fakat makine sürekli hata verdi. Bu durumu düzeltebilir misiniz?", Dijital Bankacılık, ATM
"ATM'den para çekerken 'yetersiz bakiye' hatası aldım ancak hesabımda yeterli bakiye var. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den döviz çekmek istedim fakat işlem gerçekleştiremedim. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den para yatırırken işlem tamamlanmadı ve para geri verilmedi. Ne yapmalıyım?", Dijital Bankacılık, ATM
"ATM'de kartımı unuttum ve kartım geri verilmedi. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"ATM'den kredi kartı borcu öderken hata aldım. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den kredi kartı borcu öderken 'işlem tamamlanamadı' hatası aldım. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den para yatırırken yanlış hesap numarasına para yatırdım. Bu parayı nasıl geri alabilirim?", Dijital Bankacılık, ATM
"ATM'den kartımı geri alırken 'kartınız bloke edildi' mesajı aldım. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"ATM'den döviz yatırma işlemi yapamıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den fatura ödemesi yaparken 'işlem başarısız' hatası alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, ATM
"ATM'den kredi kartı borcu ödemesi yaparken makbuz alamadım. İşlemin gerçekleşip gerçekleşmediğini nasıl öğrenebilirim?", Dijital Bankacılık, ATM
"ATM'den para yatırırken elektrik kesildi ve işlem yarıda kaldı. Bu durumda ne yapmalıyım?", Dijital Bankacılık, ATM
"ATM'den çektiğim para eksik çıktı. Bu durumu nasıl bildirebilirim?", Dijital Bankacılık, ATM
"ATM'den para çekerken yanlışlıkla işlemi iptal ettim ama para hesabımdan düştü. Ne yapmalıyım?", Dijital Bankacılık, ATM
"ATM'den yaptığım para yatırma işleminde makbuz alamadım. İşlemin gerçekleşip gerçekleşmediğini nasıl öğrenebilirim?", Dijital Bankacılık, ATM
"ATM'den para çekerken kartım sıkıştı. Ne yapmam gerekiyor?", Dijital Bankacılık, ATM
"ATM'den para çekmeye çalışırken 'geçersiz işlem' hatası aldım. Yardımcı olur musunuz?", Dijital Bankacılık, ATM
"İnternet Bankacılığı üzerinden fatura ödeme işlemim gerçekleştirilemiyor", Dijital Bankacılık, İnternet Bankacılığı
"İki faktörlü kimlik doğrulama(2FA) kodu gelmiyor", Dijital Bankacılık, İnternet Bankacılığı
"Para transferi yaparken işlem sürekli iptal ediliyor, sorun ne?", Dijital Bankacılık, İnternet Bankacılığı
"Mobil uygulama çok yavaş çalışıyor, her işlem saatler sürüyor", Dijital Bankacılık, İnternet Bankacılığı
"Güvenlik sorularını doğru cevaplamama rağmen sistem kabul etmiyor", Dijital Bankacılık, İnternet Bankacılığı
"Bakiye bilgilerim güncellenmiyor, hesabımda ne kadar para olduğunu göremiyorum", Dijital Bankacılık, İnternet Bankacılığı
"Yatırım hesabıma erişim sağlayamıyorum, sürekli hata veriyor", Dijital Bankacılık, İnternet Bankacılığı
"Kart bilgileri güncellemesi yapamıyorum, sistem sürekli hata veriyor", Dijital Bankacılık, İnternet Bankacılığı
"Hesap ekstresi indirilemiyor, sürekli hata alıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Mobil bildirimler gelmiyor, işlemlerden haberdar olamıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Para çekme limitiyle ilgili bir sorun yaşıyorum, limitimi artıramıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Banka kartımın PIN kodunu değiştiremiyorum, sürekli hata alıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Otomatik ödeme talimatı veremiyorum, sistem sürekli hata veriyor", Dijital Bankacılık, İnternet Bankacılığı
"Yurt dışı işlem yaparken banka sürekli işlemimi reddediyor", Dijital Bankacılık, İnternet Bankacılığı
"Dijital bankacılık sözleşmesini kabul edemiyorum, hata alıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Kartımı internet alışverişlerine açamıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Hesap dökümünü indirdiğimde dosya bozuk çıkıyor", Dijital Bankacılık, İnternet Bankacılığı
"Kredi kartı ekstreniz indirilemiyor hatası alıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Yatırım fonu alım satımı yaparken işlemim sürekli reddediliyor", Dijital Bankacılık, İnternet Bankacılığı
"Vadeli mevduat hesabımı kapatamıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Oturum açma sırasında sürekli güvenlik uyarıları alıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Bankacılık uygulamasında biyometrik doğrulama çalışmıyor", Dijital Bankacılık, İnternet Bankacılığı
"Banka tarafından gönderilen e-postalar spam klasörüne düşüyor", Dijital Bankacılık, İnternet Bankacılığı
"Bankanın sunduğu sanal kartı oluşturamıyorum", Dijital Bankacılık, İnternet Bankacılığı
"Hesaplar arası para transferi yapmak istediğimde hesaplarım listelenmiyor", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığı üzerinden fatura ödemesi yaparken hata alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığına giriş yapamıyorum. 'Hesabınız kilitlenmiştir' uyarısı alıyorum. Ne yapmam gerekiyor?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığında hesap bilgilerimi güncelleyemiyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığı üzerinden yatırım işlemi yapmaya çalışıyorum ancak hata alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığı şifremi değiştirmek istiyorum. Nasıl yapabilirim?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığına giriş yaparken telefon numaramı doğrulayamıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığı üzerinden hesap ekstresi almak istiyorum. Nasıl yapabilirim?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığında döviz hesabı açmak istiyorum. Bu mümkün mü?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığı üzerinden kredi kartı limit artırımı başvurusu yapamıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığı şifremi çok sık unutuyorum. Güvenlik ayarlarını nasıl değiştirebilirim?", Dijital Bankacılık, İnternet Bankacılığı
"İnternet bankacılığında kredi kartı ekstresini PDF olarak indirebiliyor muyum? Nasıl yapabilirim?", Dijital Bankacılık, İnternet Bankacılığı
